withdrawal,rp332960,267.57
deposit,vc906780,766.53
withdrawal,gj286137,297.30
deposit,il419064,990.75
deposit,op241131,570.36
withdrawal,tx224661,668.15
deposit,is427739,387.71
withdrawal,ek249834,201.82
deposit,mp739404,577.56
withdrawal,bp725700,552.85
deposit,fa591940,58.44
withdrawal,ux833041,791.45
deposit,sa800838,262.97
deposit,ze572689,969.34
withdrawal,nz290989,411.03
deposit,ti645705,687.71
withdrawal,yd265815,782.07
deposit,hn863963,564.85
deposit,ze572689,708.10
deposit,es461694,324.24
deposit,sh856684,419.93
withdrawal,cy231234,497.91
deposit,ps899285,288.26
deposit,sj515928,757.34
deposit,hw819360,527.28
deposit,ux839899,446.13
deposit,gb946504,466.47
deposit,mm139416,540.41
withdrawal,vm423150,518.41
deposit,ao886047,842.84
withdrawal,pr470955,950.07
deposit,ig501634,309.25
deposit,kv697704,794.06
withdrawal,ng636793,834.64
deposit,fa591940,18.98
deposit,zq388703,602.60
withdrawal,nv531885,592.06
withdrawal,hm817869,289.65
withdrawal,mf321144,507.00
deposit,if132802,822.93
withdrawal,pz322999,711.81
withdrawal,uj417690,822.35
withdrawal,vg107077,474.34
withdrawal,kh523308,178.42
deposit,oh223982,37.79
deposit,cd428747,180.50
withdrawal,gl866732,383.93
withdrawal,lm940986,658.46
deposit,rp332960,267.49
deposit,me524056,818.19
withdrawal,lx568657,921.79
deposit,jf380789,487.84
withdrawal,yh791790,841.37
deposit,ev520081,68.65
withdrawal,so374484,296.86
withdrawal,zj335065,373.71
deposit,gg760394,140.48
withdrawal,fm153275,246.59
deposit,gj286137,593.41
withdrawal,tx835396,507.68
withdrawal,ux839899,515.68
withdrawal,ym890403,288.74
deposit,zj992833,510.21
withdrawal,nq350637,658.06
deposit,ye945342,551.96
withdrawal,lr123706,798.00
deposit,ir605298,189.11
deposit,hx146890,469.35
withdrawal,tc759325,73.83
deposit,ys570572,757.89
deposit,fd789053,468.20
withdrawal,gd257316,395.83
deposit,sn317734,498.91
deposit,mp739404,422.80
withdrawal,mp759295,635.36
withdrawal,tf922589,819.83
deposit,kv697704,700.04
deposit,wj870246,957.03
deposit,yl434099,904.18
deposit,yl434099,563.83
deposit,rk427181,273.57
withdrawal,os576633,753.94
withdrawal,jh508581,532.52
deposit,vg107077,862.97
withdrawal,zx114329,527.74
deposit,lm940986,491.39
deposit,zx114329,294.99
withdrawal,mm139416,444.21
deposit,tq892641,366.77
withdrawal,pc592277,74.65
deposit,zs315963,113.46
withdrawal,na324874,64.19
deposit,lh588667,929.35
withdrawal,uy811249,635.79
withdrawal,uk330247,865.26
deposit,jw598210,416.64
withdrawal,ou271180,932.23
withdrawal,pr635585,579.49
deposit,fd789053,35.74
withdrawal,sg223394,577.18
deposit,mz565781,833.50
withdrawal,jz385253,599.55
withdrawal,nh869874,337.65
deposit,ig501634,43.08
withdrawal,fw431659,853.73
withdrawal,ri770088,920.61
deposit,so374484,604.41
withdrawal,gj286137,176.89
withdrawal,uk330247,807.08
deposit,zs315963,147.84
withdrawal,xr636065,82.72
deposit,dy781687,470.13
deposit,mq615277,782.89
deposit,bf462984,721.64
deposit,eg648839,874.12
withdrawal,ti645705,847.81
withdrawal,zs315963,804.63
withdrawal,mf321144,641.48
withdrawal,oh606599,654.01
deposit,la812559,881.24
withdrawal,jp389006,567.06
withdrawal,dl862878,118.05
withdrawal,tx224661,433.88
deposit,wz127256,483.88
deposit,hr676528,499.36
withdrawal,mh472795,337.02
withdrawal,ff159137,851.34
deposit,kc255358,380.89
withdrawal,vc755172,436.89
withdrawal,sa800838,129.26
deposit,fa805789,802.72
deposit,tj308778,27.56
withdrawal,ux839899,181.80
deposit,lm253103,760.29
deposit,hx146890,535.27
withdrawal,nv531885,125.43
withdrawal,fa371776,57.47
deposit,lx568657,255.70
deposit,fm153275,529.93
withdrawal,ye569395,193.68
deposit,xu877837,462.93
deposit,rh120800,356.17
deposit,rw288243,523.64
withdrawal,hh566009,733.77
withdrawal,jw598210,958.49
deposit,jn161143,420.65
deposit,bp505838,922.32
withdrawal,fg506562,602.98
withdrawal,xr636065,742.57
deposit,bt766102,435.00
withdrawal,aa291559,721.92
withdrawal,mz114198,740.90
deposit,vj545936,248.58
withdrawal,wz240833,384.82
withdrawal,ua253120,584.26
withdrawal,qf241440,930.87
deposit,nh529233,734.04
deposit,sh856684,297.43
withdrawal,pr470955,939.13
withdrawal,vg107077,69.53
deposit,rs599476,88.82
withdrawal,fd789053,644.21
withdrawal,cy231234,973.18
withdrawal,xu926691,158.48
deposit,rp332960,16.30
withdrawal,jw598210,179.94
deposit,bt445644,228.78
deposit,bj788933,740.49
withdrawal,ze572689,929.22
deposit,pv484524,606.56
deposit,gl868289,515.84
deposit,lg759171,756.72
deposit,tv868675,571.94
withdrawal,zz653714,562.59
deposit,ja127185,499.50
deposit,gv960171,529.34
deposit,yc500519,938.31
withdrawal,te868782,943.72
deposit,vq974543,728.97
deposit,qz918676,260.25
withdrawal,cd428747,925.70
withdrawal,fa371776,948.06
withdrawal,zz885204,770.91
withdrawal,ca696497,483.88
withdrawal,nv531885,386.33
deposit,uj750030,810.28
withdrawal,bp725700,764.68
withdrawal,tv924074,379.73
withdrawal,rp332960,92.04
deposit,ct902527,804.31
withdrawal,xm211009,646.97
withdrawal,kc255358,349.33
deposit,gb505437,868.05
deposit,vy365449,445.48
deposit,go206094,444.97
deposit,ay453697,356.55
withdrawal,ym890403,763.15
withdrawal,te868782,787.26
withdrawal,kz986651,589.14
withdrawal,jw598210,729.27
withdrawal,ps899285,328.07
withdrawal,hu247682,383.17
withdrawal,na324874,742.85
withdrawal,ja127185,639.02
withdrawal,yh607238,753.16
withdrawal,ng982918,373.06
withdrawal,qb235683,772.92
withdrawal,gk127721,565.50
withdrawal,wz240833,577.32
deposit,pr635585,685.17
deposit,gv960171,448.70
withdrawal,sx393891,693.65
deposit,is518519,454.55
withdrawal,yb115587,760.34
withdrawal,es145199,479.42
deposit,wn924632,258.74
deposit,pr635585,253.33
withdrawal,gf121746,708.42
withdrawal,dl862878,108.47
deposit,ta521361,945.19
withdrawal,jh508581,762.98
withdrawal,up612655,65.64
withdrawal,is518519,781.98
withdrawal,cd428747,839.07
withdrawal,op241131,835.71
deposit,ua253120,379.75
withdrawal,hq774471,316.36
withdrawal,dy781687,330.33
deposit,fc392748,467.06
withdrawal,bj788933,133.55
deposit,ce650119,542.49
withdrawal,bt766102,692.02
deposit,zz653714,846.96
withdrawal,xr470552,531.31
withdrawal,bt766102,148.77
deposit,ie621775,476.22
deposit,vy365449,582.04
withdrawal,qy320156,778.37
withdrawal,wl434224,319.66
withdrawal,vx973851,197.67
deposit,xr470552,387.71
withdrawal,gn184256,319.81
deposit,le229961,12.52
withdrawal,xm211009,949.15
withdrawal,rp332960,185.49
withdrawal,ye569395,414.77
deposit,uy811249,739.93
withdrawal,os576633,434.21
deposit,ep730702,345.18
withdrawal,tc759325,754.31
deposit,id676553,211.33
withdrawal,bq779016,50.39
withdrawal,nn815052,699.97
deposit,la951653,390.76
withdrawal,mz443755,395.41
deposit,vc755172,754.74
deposit,xy966784,92.21
deposit,ym890403,869.40
deposit,cy524549,515.58
deposit,gf121746,598.47
deposit,xx487666,205.72
deposit,eh661072,200.46
withdrawal,rp950054,156.00
deposit,oh606599,243.91
withdrawal,kc255358,424.65
withdrawal,zx786512,263.74
withdrawal,mr771695,198.36
deposit,hq624473,157.71
withdrawal,tw668541,752.38
deposit,ke228476,774.43
deposit,mr771695,411.50
withdrawal,tq892641,854.38
withdrawal,lr123706,670.65
withdrawal,zp204191,334.41
deposit,yl434099,77.95
withdrawal,tz456552,485.91
withdrawal,ye945342,819.14
withdrawal,tw668541,313.34
withdrawal,cr467080,591.82
withdrawal,ig501634,527.15
withdrawal,bt445644,718.81
withdrawal,ti960627,640.69
deposit,uw197890,625.50
deposit,jq446801,791.69
deposit,ie247006,851.78
withdrawal,ti645705,93.86
deposit,jw598210,319.85
deposit,ie247006,271.27
withdrawal,sm445325,867.44
withdrawal,ye945342,881.00
deposit,sj515928,373.59
withdrawal,bd385811,687.75
deposit,uo356141,362.08
withdrawal,zc499993,996.28
withdrawal,is518519,619.64
deposit,wn924632,960.16
withdrawal,ua790606,141.41
withdrawal,ke228476,841.80
withdrawal,eg648839,520.01
deposit,jn161143,18.09
deposit,xo761414,313.87
withdrawal,uj750030,189.09
withdrawal,cs482001,300.58
withdrawal,lm253103,254.33
deposit,wc948322,558.20
withdrawal,vf611862,995.06
deposit,yl434099,771.05
withdrawal,sl531914,913.52
deposit,yw635717,879.12
deposit,ua253120,608.00
deposit,xr636065,960.40
deposit,qh730367,860.36
deposit,nq350637,149.36
withdrawal,nk969651,215.38
deposit,vx973851,496.23
withdrawal,ux839899,115.55
deposit,ca696497,633.54
withdrawal,vm423150,847.75
deposit,es461694,640.86
deposit,zx786512,814.75
withdrawal,ns925478,184.41
withdrawal,nz748925,219.57
deposit,zj947340,613.59
deposit,wn924632,625.20
deposit,zp204191,719.66
withdrawal,ot183513,519.47
deposit,he669924,550.55
withdrawal,me524056,864.27
withdrawal,rp332960,489.66
withdrawal,jq446801,905.66
withdrawal,vc906780,478.18
withdrawal,cp885801,163.93
deposit,nx509474,954.59
withdrawal,tf922589,301.63
deposit,ng636793,917.53
deposit,ss597466,124.79
withdrawal,vx973851,391.99
withdrawal,vy250358,827.35
deposit,sm445325,695.22
deposit,gx323914,716.48
withdrawal,qq260786,969.03
withdrawal,jn161143,662.88
deposit,ww688503,850.08
deposit,yd265815,709.37
withdrawal,sl488233,278.44
deposit,tx224661,933.05
withdrawal,mp759295,155.51
withdrawal,kw843649,648.95
